1,Fernando Alonso,Ferrari,25
2,Felipe Massa,Ferrari,18
3,Lewis Hamilton,McLaren Mercedes,15
4,Sebastian Vettel,RBR Renault,12
5,Nico Rosberg,Mercedes,10
6,Michael Schumacher,Mercedes,8
7,Jenson Button,McLaren Mercedes,6
8,Mark Webber,RBR Renault,4
9,Vitantonio Liuzzi,Force India Mercedes,2
10,Rubens Barrichello,Williams Cosworth,1
11,Robert Kubica,Renault,0
12,Adrian Sutil,Force India Mercedes,0
13,Jaime Alguersuari,STR Ferrari,0
14,Nico Hulkenberg,Williams Cosworth,0
15,Heikki Kovalainen,Lotus Cosworth,0
16,Sebastien Buemi,STR Ferrari,0
17,Jarno Trulli,Lotus Cosworth,0
18,Pedro de la Rosa,Sauber Ferrari,0
19,Bruno Senna,HRT Cosworth,0
20,Timo Glock,Virgin Cosworth,0
21,Vitaly Petrov,Renault,0
22,Kamui Kobayashi,Sauber Ferrari,0
23,Lucas di Grassi,Virgin Cosworth,0
24,Karun Chandhok,HRT Cosworth,0
1,Jenson Button,McLaren Mercedes,25
2,Robert Kubica,Renault,18
3,Felipe Massa,Ferrari,15
4,Fernando Alonso,Ferrari,12
5,Nico Rosberg,Mercedes,10
6,Lewis Hamilton,McLaren Mercedes,8
7,Vitantonio Liuzzi,Force India Mercedes,6
8,Rubens Barrichello,Williams Cosworth,4
9,Mark Webber,RBR Renault,2
10,Michael Schumacher,Mercedes,1
11,Jaime Alguersuari,STR Ferrari,0
12,Pedro de la Rosa,Sauber Ferrari,0
13,Heikki Kovalainen,Lotus Cosworth,0
14,Karun Chandhok,HRT Cosworth,0
15,Timo Glock,Virgin Cosworth,0
16,Lucas di Grassi,Virgin Cosworth,0
17,Sebastian Vettel,RBR Renault,0
18,Adrian Sutil,Force India Mercedes,0
19,Vitaly Petrov,Renault,0
20,Bruno Senna,HRT Cosworth,0
21,Sebastien Buemi,STR Ferrari,0
22,Nico Hulkenberg,Williams Cosworth,0
23,Kamui Kobayashi,Sauber Ferrari,0
24,Jarno Trulli,Lotus Cosworth,0
1,Sebastian Vettel,RBR Renault,25
2,Mark Webber,RBR Renault,18
3,Nico Rosberg,Mercedes,15
4,Robert Kubica,Renault,12
5,Adrian Sutil,Force India Mercedes,10
6,Lewis Hamilton,McLaren Mercedes,8
7,Felipe Massa,Ferrari,6
8,Jenson Button,McLaren Mercedes,4
9,Jaime Alguersuari,STR Ferrari,2
10,Nico Hulkenberg,Williams Cosworth,1
11,Sebastien Buemi,STR Ferrari,0
12,Rubens Barrichello,Williams Cosworth,0
13,Fernando Alonso,Ferrari,0
14,Lucas di Grassi,Virgin Cosworth,0
15,Karun Chandhok,HRT Cosworth,0
16,Bruno Senna,HRT Cosworth,0
17,Jarno Trulli,Lotus Cosworth,0
18,Heikki Kovalainen,Lotus Cosworth,0
19,Vitaly Petrov,Renault,0
20,Vitantonio Liuzzi,Force India Mercedes,0
21,Michael Schumacher,Mercedes,0
22,Kamui Kobayashi,Sauber Ferrari,0
23,Timo Glock,Virgin Cosworth,0
24,Pedro de la Rosa,Sauber Ferrari,0
1,Jenson Button,McLaren Mercedes,25
2,Lewis Hamilton,McLaren Mercedes,18
3,Nico Rosberg,Mercedes,15
4,Fernando Alonso,Ferrari,12
5,Robert Kubica,Renault,10
6,Sebastian Vettel,RBR Renault,8
7,Vitaly Petrov,Renault,6
8,Mark Webber,RBR Renault,4
9,Felipe Massa,Ferrari,2
10,Michael Schumacher,Mercedes,1
11,Adrian Sutil,Force India Mercedes,0
12,Rubens Barrichello,Williams Cosworth,0
13,Jaime Alguersuari,STR Ferrari,0
14,Heikki Kovalainen,Lotus Cosworth,0
15,Nico Hulkenberg,Williams Cosworth,0
16,Bruno Senna,HRT Cosworth,0
17,Karun Chandhok,HRT Cosworth,0
18,Jarno Trulli,Lotus Cosworth,0
19,Lucas di Grassi,Virgin Cosworth,0
20,Pedro de la Rosa,Sauber Ferrari,0
21,Sebastien Buemi,STR Ferrari,0
22,Kamui Kobayashi,Sauber Ferrari,0
23,Vitantonio Liuzzi,Force India Mercedes,0
24,Timo Glock,Virgin Cosworth,0
1,Mark Webber,RBR Renault,25
2,Fernando Alonso,Ferrari,18
3,Sebastian Vettel,RBR Renault,15
4,Michael Schumacher,Mercedes,12
5,Jenson Button,McLaren Mercedes,10
6,Felipe Massa,Ferrari,8
7,Adrian Sutil,Force India Mercedes,6
8,Robert Kubica,Renault,4
9,Rubens Barrichello,Williams Cosworth,2
10,Jaime Alguersuari,STR Ferrari,1
11,Vitaly Petrov,Renault,0
12,Kamui Kobayashi,Sauber Ferrari,0
13,Nico Rosberg,Mercedes,0
14,Lewis Hamilton,McLaren Mercedes,0
15,Vitantonio Liuzzi,Force India Mercedes,0
16,Nico Hulkenberg,Williams Cosworth,0
17,Jarno Trulli,Lotus Cosworth,0
18,Timo Glock,Virgin Cosworth,0
19,Lucas di Grassi,Virgin Cosworth,0
20,Sebastien Buemi,STR Ferrari,0
21,Karun Chandhok,HRT Cosworth,0
22,Pedro de la Rosa,Sauber Ferrari,0
23,Bruno Senna,HRT Cosworth,0
24,Heikki Kovalainen,Lotus Cosworth,0
1,Mark Webber,RBR Renault,25
2,Sebastian Vettel,RBR Renault,18
3,Robert Kubica,Renault,15
4,Felipe Massa,Ferrari,12
5,Lewis Hamilton,McLaren Mercedes,10
6,Fernando Alonso,Ferrari,8
7,Nico Rosberg,Mercedes,6
8,Adrian Sutil,Force India Mercedes,4
9,Vitantonio Liuzzi,Force India Mercedes,2
10,Sebastien Buemi,STR Ferrari,1
11,Jaime Alguersuari,STR Ferrari,0
12,Michael Schumacher,Mercedes,0
13,Vitaly Petrov,Renault,0
14,Karun Chandhok,HRT Cosworth,0
15,Jarno Trulli,Lotus Cosworth,0
16,Heikki Kovalainen,Lotus Cosworth,0
17,Bruno Senna,HRT Cosworth,0
18,Rubens Barrichello,Williams Cosworth,0
19,Kamui Kobayashi,Sauber Ferrari,0
20,Lucas di Grassi,Virgin Cosworth,0
21,Timo Glock,Virgin Cosworth,0
22,Pedro de la Rosa,Sauber Ferrari,0
23,Jenson Button,McLaren Mercedes,0
24,Nico Hulkenberg,Williams Cosworth,0
1,Lewis Hamilton,McLaren Mercedes,25
2,Jenson Button,McLaren Mercedes,18
3,Mark Webber,RBR Renault,15
4,Michael Schumacher,Mercedes,12
5,Nico Rosberg,Mercedes,10
6,Robert Kubica,Renault,8
7,Felipe Massa,Ferrari,6
8,Fernando Alonso,Ferrari,4
9,Adrian Sutil,Force India Mercedes,2
10,Kamui Kobayashi,Sauber Ferrari,1
11,Pedro de la Rosa,Sauber Ferrari,0
12,Jaime Alguersuari,STR Ferrari,0
13,Vitantonio Liuzzi,Force India Mercedes,0
14,Rubens Barrichello,Williams Cosworth,0
15,Vitaly Petrov,Renault,0
16,Sebastien Buemi,STR Ferrari,0
17,Nico Hulkenberg,Williams Cosworth,0
18,Timo Glock,Virgin Cosworth,0
